Date,Open,High,Low,Close,Volume,Adj Close
2016-07-13,859.719971,864.710022,858.549988,860.530029,000,860.530029
2016-07-12,852.590027,863.109985,852.169983,861.22998,000,861.22998
2016-07-11,844.340027,852.409973,840.570007,850.97998,000,850.97998
2016-07-08,822.77002,841.789978,822.27002,838.75,000,838.75
2016-07-07,823.98999,833.72998,823.789978,825.619995,000,825.619995
2016-07-06,826.77002,831.659973,813.390015,818.809998,000,818.809998
2016-07-05,840.570007,843.210022,830.73999,833.320007,000,833.320007
2016-07-04,855.76001,856.73999,845.119995,845.950012,000,845.950012
2016-07-01,850.840027,856.539978,843.859985,853.159973,000,853.159973
2016-06-30,833.659973,848.22998,829.440002,846.469971,000,846.469971
2016-06-29,823.070007,835.890015,821.830017,835.890015,000,835.890015
2016-06-28,813.109985,820.26001,811.00,813.190002,000,813.190002
2016-06-27,813.609985,820.219971,791.440002,795.599976,000,795.599976
2016-06-24,819.669983,837.00,797.48999,819.98999,000,819.98999
2016-06-23,868.960022,885.820007,867.590027,879.080017,000,879.080017
2016-06-22,868.950012,871.73999,863.440002,865.159973,000,865.159973
2016-06-21,856.450012,866.159973,854.059998,863.23999,000,863.23999
2016-06-20,849.380005,859.849976,848.619995,857.359985,000,857.359985
2016-06-17,827.690002,835.320007,825.609985,829.880005,000,829.880005
2016-06-16,816.090027,824.640015,814.960022,822.640015,000,822.640015
2016-06-15,826.070007,832.179993,824.429993,826.320007,000,826.320007
2016-06-14,827.080017,830.599976,818.48999,818.820007,000,818.820007
2016-06-13,843.48999,845.570007,836.299988,836.299988,000,836.299988
2016-06-10,869.140015,869.140015,851.52002,852.099976,000,852.099976
2016-06-09,877.450012,878.190002,869.840027,871.880005,000,871.880005
2016-06-08,881.080017,883.390015,877.190002,879.700012,000,879.700012
2016-06-07,877.840027,885.780029,877.159973,884.330017,000,884.330017
2016-06-06,870.76001,876.309998,870.76001,874.070007,000,874.070007
2016-06-03,882.719971,885.659973,868.51001,872.609985,000,872.609985
2016-06-02,880.23999,883.75,877.059998,880.090027,000,880.090027
2016-06-01,884.070007,885.159973,876.049988,880.090027,000,880.090027
2016-05-31,889.900024,890.390015,882.309998,884.169983,000,884.169983
2016-05-30,885.580017,889.130005,883.460022,888.97998,000,888.97998
2016-05-27,883.309998,886.630005,882.51001,886.50,000,886.50
2016-05-26,880.940002,886.890015,880.690002,886.619995,000,886.619995
2016-05-25,876.640015,883.51001,874.549988,881.299988,000,881.299988
2016-05-24,849.969971,873.619995,848.140015,871.400024,000,871.400024
2016-05-23,856.00,858.799988,848.109985,852.659973,000,852.659973
2016-05-20,852.650024,857.390015,850.880005,857.390015,000,857.390015
2016-05-19,847.929993,850.880005,842.940002,844.789978,000,844.789978
2016-05-18,845.23999,853.630005,844.26001,853.50,000,853.50
2016-05-17,855.820007,861.700012,846.27002,850.109985,000,850.109985
2016-05-16,847.840027,853.820007,844.409973,852.969971,000,852.969971
2016-05-13,844.150024,856.369995,842.299988,854.22998,000,854.22998
2016-05-12,850.659973,864.119995,846.51001,850.609985,000,850.609985
2016-05-11,858.219971,858.77002,850.289978,855.090027,000,855.090027
2016-05-10,858.330017,865.919983,855.47998,859.140015,000,859.140015
2016-05-09,854.320007,862.440002,851.210022,853.97998,000,853.97998
2016-05-06,847.940002,852.690002,841.119995,850.409973,000,850.409973
2016-05-05,850.929993,856.190002,848.75,852.719971,000,852.719971
2016-05-04,855.51001,859.599976,848.559998,849.780029,000,849.780029
2016-05-03,870.570007,870.830017,856.580017,859.309998,000,859.309998
2016-05-02,874.50,875.01001,870.070007,872.679993,000,872.679993
