Date,Open,High,Low,Close,Volume,Adj Close
2016-07-14,48.05,48.80,48.05,48.65,390200,48.65
2016-07-13,48.10,48.38,47.95,48.08,361400,48.08
2016-07-12,48.00,48.25,47.89,47.98,496300,47.98
2016-07-11,47.66,48.12,47.34,47.77,412500,47.77
2016-07-08,47.58,47.68,47.09,47.22,406100,47.22
2016-07-07,46.97,47.70,46.95,47.58,578400,47.58
2016-07-06,46.10,47.00,46.10,46.97,565100,46.97
2016-07-05,46.50,46.76,45.86,46.21,317300,46.21
2016-07-04,45.95,46.61,45.65,46.37,845800,46.37
2016-07-01,45.88,46.61,45.79,46.17,412700,46.17
2016-06-30,45.14,45.81,45.00,45.76,729300,45.76
2016-06-29,44.31,45.06,44.09,45.00,775900,45.00
2016-06-28,44.00,44.35,43.43,44.06,483600,44.06
2016-06-27,44.00,44.47,43.52,44.25,440400,44.25
2016-06-24,45.90,45.90,43.77,44.15,1375100,44.15
2016-06-23,45.78,45.955,45.59,45.66,526600,45.66
2016-06-22,45.53,45.695,45.11,45.64,453000,45.64
2016-06-21,45.00,45.52,44.38,45.28,403600,45.28
2016-06-20,44.68,45.15,44.37,45.15,782000,45.15
2016-06-17,44.07,44.32,43.80,44.30,453800,44.30
2016-06-16,43.82,44.03,43.61,43.90,577600,43.90
2016-06-15,44.50,44.54,43.78,43.79,560500,43.79
2016-06-14,44.50,44.64,44.04,44.30,599400,44.30
2016-06-13,44.82,44.82,44.82,44.82,000,44.82
2016-06-10,45.06,45.06,44.615,44.82,287500,44.82
2016-06-09,45.28,45.48,44.84,45.16,330800,45.16
2016-06-08,45.48,45.57,45.17,45.39,464600,45.39
2016-06-07,45.99,45.99,45.37,45.56,443300,45.56
2016-06-06,45.94,45.94,45.14,45.52,522500,45.52
2016-06-03,45.00,46.31,44.94,45.82,741600,45.82
2016-06-02,44.55,44.83,44.25,44.74,553500,44.74
2016-06-01,44.69,44.69,44.01,44.21,339200,44.21
2016-05-31,44.66,44.67,44.02,44.51,717800,44.51
2016-05-30,44.47,45.00,44.26,44.52,216900,44.52
2016-05-27,44.24,44.87,44.21,44.45,476200,44.45
2016-05-26,44.40,44.40,43.65,43.96,429400,43.96
2016-05-25,43.97,44.44,43.86,44.14,423900,44.14
2016-05-24,44.00,44.16,43.50,43.50,482200,43.50
2016-05-23,44.20,44.29,43.75,43.83,324900,43.83
2016-05-20,44.26,44.27,43.82,44.05,251200,44.05
2016-05-19,44.39,44.44,44.03,44.13,386900,44.13
2016-05-18,44.25,44.32,43.77,44.03,538500,44.03
2016-05-17,44.45,44.49,43.98,44.03,436600,44.03
2016-05-16,44.11,44.46,43.93,44.05,452600,44.05
2016-05-13,45.00,45.00,44.025,44.11,541400,44.11
2016-05-12,44.90,45.25,44.115,44.32,539100,44.32
2016-05-11,44.74,45.56,44.30,44.90,462800,44.90
2016-05-10,44.64,44.99,44.35,44.74,541400,44.74
2016-05-09,44.77,44.83,44.14,44.65,377100,44.65
2016-05-06,43.89,44.91,43.01,44.91,1025500,44.91
2016-05-05,43.80,43.94,43.31,43.60,582800,43.60
2016-05-04,44.40,44.69,43.86,43.90,419300,43.90
2016-05-03,44.10,44.58,43.69,44.50,512200,44.50
2016-05-02,43.53,44.02,43.39,44.00,370500,44.00
