Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,45743.488281,46218.511719,45743.488281,46177.609375,176525200,46177.609375
2016-07-08,45393.28125,45744.621094,45344.019531,45744.289062,163032200,45744.289062
2016-07-07,45300.230469,45655.761719,45215.140625,45394.371094,207536400,45394.371094
2016-07-06,45819.621094,45820.210938,45104.871094,45304.75,186619900,45304.75
2016-07-05,46200.21875,46341.238281,45669.660156,45819.601562,198145900,45819.601562
2016-07-04,46213.269531,46429.050781,46135.089844,46201.328125,29013300,46201.328125
2016-07-01,45973.199219,46251.808594,45831.328125,46213.269531,134616100,46213.269531
2016-06-30,45466.371094,45967.21875,45419.730469,45966.488281,271556400,45966.488281
2016-06-29,44725.808594,45584.789062,44700.429688,45466.371094,217069200,45466.371094
2016-06-28,44297.589844,44960.890625,44297.589844,44714.539062,240293700,44714.539062
2016-06-27,44888.949219,44888.949219,43902.25,44282.03125,277445800,44282.03125
2016-06-24,46119.921875,46153.679688,44501.00,44885.820312,323558900,44885.820312
2016-06-23,45820.699219,46145.921875,45820.699219,46145.921875,154551700,46145.921875
2016-06-22,45706.191406,45809.089844,45612.421875,45806.160156,141267100,45806.160156
2016-06-21,45781.988281,45843.070312,45421.441406,45705.421875,174634600,45705.421875
2016-06-20,45306.359375,45978.859375,45306.359375,45779.660156,174117300,45779.660156
2016-06-17,45227.699219,45394.878906,45106.710938,45306.21875,281640500,45306.21875
2016-06-16,45017.449219,45225.398438,44580.699219,45225.398438,157370200,45225.398438
2016-06-15,44562.730469,45107.050781,44491.121094,45011.21875,207926700,45011.21875
2016-06-14,44935.03125,44968.539062,44389.238281,44570.589844,186815300,44570.589844
2016-06-13,45170.460938,45180.640625,44709.179688,44930.25,166801300,44930.25
