2016-07-14,16242.200195,16398.730469,16229.259766,16385.890625,132000,16385.890625
2016-07-13,16343.00,16444.25,16196.44043,16231.429688,189700,16231.429688
2016-07-12,15961.299805,16237.620117,15956.910156,16095.650391,179500,16095.650391
2016-07-11,15375.94043,15816.669922,15375.94043,15708.820312,134700,15708.820312
2016-07-08,15326.839844,15399.700195,15106.519531,15106.980469,125600,15106.980469
2016-07-07,15346.80957,15418.900391,15241.910156,15276.240234,123500,15276.240234
2016-07-06,15434.459961,15434.459961,15167.980469,15378.990234,000,15378.990234
2016-07-05,15682.160156,15702.040039,15602.730469,15669.330078,105900,15669.330078
2016-07-04,15554.040039,15805.30957,15553.919922,15775.799805,105200,15775.799805
2016-07-01,15698.019531,15765.00,15635.570312,15682.480469,116300,15682.480469
2016-06-30,15752.709961,15781.69043,15575.919922,15575.919922,146200,15575.919922
2016-06-29,15523.349609,15626.660156,15398.30957,15566.830078,143000,15566.830078
2016-06-28,15094.709961,15443.820312,14987.790039,15323.139648,175500,15323.139648
2016-06-27,15153.080078,15323.950195,15061.660156,15309.209961,157000,15309.209961
2016-06-24,16333.870117,16389.169922,14864.009766,14952.019531,255100,14952.019531
2016-06-23,16098.610352,16263.870117,16057.860352,16238.349609,107500,16238.349609
2016-06-22,16095.80957,16160.990234,15980.650391,16065.719727,108300,16065.719727
2016-06-21,15875.80957,16202.299805,15770.959961,16169.110352,117300,16169.110352
2016-06-20,15839.05957,16035.44043,15835.860352,15965.299805,128000,15965.299805
2016-06-17,15631.790039,15774.870117,15582.94043,15599.660156,162200,15599.660156
2016-06-16,15871.219727,15913.080078,15395.980469,15434.139648,149600,15434.139648
2016-06-15,15799.070312,15997.299805,15752.009766,15919.580078,132700,15919.580078
2016-06-14,16001.19043,16082.50,15762.089844,15859.00,000,15859.00
2016-06-13,16319.110352,16335.379883,16019.179688,16019.179688,000,16019.179688
2016-06-10,16637.509766,16643.359375,16496.109375,16601.359375,150400,16601.359375
2016-06-09,16742.029297,16785.830078,16587.769531,16668.410156,000,16668.410156
2016-06-08,16722.490234,16830.919922,16581.710938,16830.919922,108700,16830.919922
2016-06-07,16651.050781,16701.009766,16536.230469,16675.449219,105700,16675.449219
2016-06-06,16373.320312,16581.300781,16322.639648,16580.029297,118500,16580.029297
2016-06-03,16599.509766,16716.140625,16554.599609,16642.230469,107300,16642.230469
2016-06-02,16817.259766,16819.849609,16525.470703,16562.550781,138500,16562.550781
2016-06-01,17097.220703,17145.949219,16908.919922,16955.730469,129700,16955.730469
2016-05-31,17029.460938,17251.359375,16988.640625,17234.980469,152000,17234.980469
2016-05-30,16973.720703,17068.019531,16910.189453,17068.019531,97300,17068.019531
2016-05-27,16830.50,16901.089844,16792.730469,16834.839844,108400,16834.839844
2016-05-26,16927.689453,16957.560547,16743.169922,16772.460938,118300,16772.460938
2016-05-25,16764.349609,16806.029297,16731.119141,16757.349609,104200,16757.349609
2016-05-24,16605.039062,16605.039062,16471.369141,16498.759766,106400,16498.759766
2016-05-23,16671.279297,16691.50,16417.839844,16654.599609,000,16654.599609
2016-05-20,16594.990234,16770.869141,16548.339844,16736.349609,122500,16736.349609
2016-05-19,16807.460938,16841.039062,16590.160156,16646.660156,000,16646.660156
2016-05-18,16611.400391,16795.470703,16513.169922,16644.689453,160100,16644.689453
2016-05-17,16618.949219,16655.890625,16509.310547,16652.800781,114100,16652.800781
2016-05-16,16391.919922,16632.619141,16391.919922,16466.400391,121300,16466.400391
2016-05-13,16804.169922,16804.169922,16400.869141,16412.210938,166500,16412.210938
2016-05-12,16459.689453,16658.070312,16374.589844,16646.339844,134500,16646.339844
2016-05-11,16736.720703,16814.640625,16536.609375,16579.009766,139200,16579.009766
2016-05-10,16307.50,16587.630859,16229.150391,16565.189453,000,16565.189453
2016-05-09,16226.589844,16292.860352,16159.30957,16216.030273,000,16216.030273
2016-05-06,16212.669922,16271.610352,15989.349609,16106.719727,148100,16106.719727
2016-05-02,16357.099609,16357.099609,15975.469727,16147.379883,174500,16147.379883
